timestep,angular_velocity,torque
1.879999999999982,0.0005385158384343027,-3.624013104608359e-07
1.8999999999999815,0.0004876703302186621,-3.5019012600834287e-07
1.919999999999981,0.0004387268207368664,-3.3499136278813973e-07
1.9399999999999806,0.00039206786705852574,-3.175648823627864e-07
1.9599999999999802,0.00034797372614113703,-2.985673318856019e-07
1.9799999999999798,0.00030663654111735486,-2.7856093184897023e-07
1.9999999999999793,0.00026817328821783704,-2.58022084032028e-07
2.019999999999979,0.0002326375149872574,-2.3734970674982314e-07
2.0399999999999787,0.00020002991284044823,-2.1687322135366394e-07
2.0599999999999783,0.00017030777653600213,-1.968601353874444e-07
2.079999999999978,0.00014339341018262378,-1.7752318196007089e-07
2.0999999999999774,0.00011918154429228687,-1.5902698966008266e-07
2.119999999999977,9.75458314502524e-05,-1.4149426810772248e-07
